,level_0,index,price,year,manufacturer,model,condition,cylinders,odometer,transmission,type,state,age,Condition,Cylinders,Manufacturer,Transmission,Model,Type,bin
750,750,7054,14450,2012.0,toyota,camry,excellent,4 cylinders,40000.0,automatic,sedan,va,8.0,3,4,1,0,73,0,40000-50000
751,751,7055,4450,2002.0,mitsubishi,montero sport,excellent,6 cylinders,140000.0,automatic,SUV,va,18.0,3,6,32,0,428,6,140000-150000
752,752,7057,10950,2014.0,ford,escape titanium,excellent,4 cylinders,123233.0,automatic,SUV,va,6.0,3,4,13,0,342,6,120000-130000
753,753,7059,3990,2010.0,chevrolet,cobalt lt,excellent,4 cylinders,60340.0,automatic,sedan,va,10.0,3,4,9,0,429,0,60000-70000
754,754,7061,9850,2008.0,toyota,tacoma,excellent,4 cylinders,67046.0,manual,pickup,va,12.0,3,4,1,2,159,3,60000-70000
755,755,7068,15500,2002.0,ford,f350 super duty,excellent,8 cylinders,53245.0,automatic,truck,va,18.0,3,8,13,0,404,5,50000-60000
756,756,7071,8490,2011.0,honda,odyssey ex-l,excellent,6 cylinders,161271.0,automatic,mini-van,va,9.0,3,6,14,0,251,9,160000-170000
757,757,7073,31500,2005.0,ram,2500 slt 4x4 quad cab,excellent,6 cylinders,79000.0,manual,pickup,va,15.0,3,6,6,2,430,3,70000-80000
758,758,7075,4990,2003.0,jeep,liberty sport,excellent,6 cylinders,92000.0,automatic,SUV,va,17.0,3,6,10,0,399,6,90000-100000
759,759,7078,4600,2006.0,chrysler,town & country touring,excellent,6 cylinders,132000.0,automatic,mini-van,va,14.0,3,6,8,0,377,9,130000-140000
760,760,7079,8795,2013.0,ford,fusion,good,4 cylinders,115605.0,automatic,sedan,va,7.0,2,4,13,0,87,0,110000-120000
761,761,7080,7499,2011.0,dodge,caliber,good,4 cylinders,81179.0,automatic,hatchback,va,9.0,2,4,11,0,78,1,80000-90000
762,762,7082,6999,2006.0,subaru,legacy sedan,good,4 cylinders,97054.0,automatic,sedan,va,14.0,2,4,0,0,91,0,90000-100000
763,763,7083,6995,2011.0,hyundai,sonata,good,4 cylinders,161822.0,automatic,sedan,va,9.0,2,4,4,0,27,0,160000-170000
764,764,7084,7999,2011.0,toyota,corolla,good,4 cylinders,137476.0,automatic,sedan,va,9.0,2,4,1,0,34,0,130000-140000
765,765,7087,4400,2004.0,mazda,tribute lx,excellent,6 cylinders,134000.0,automatic,SUV,va,16.0,3,6,12,0,384,6,130000-140000
766,766,7088,5450,2001.0,nissan,xterra 4x4,excellent,6 cylinders,80765.0,automatic,SUV,va,19.0,3,6,5,0,379,6,80000-90000
767,767,7089,5550,2008.0,honda,fit sport,excellent,4 cylinders,147908.0,automatic,hatchback,va,12.0,3,4,14,0,411,1,140000-150000
